,1,2,3,4,5,6,7,8,9,10,11,12,id,13,14,15,16,17,18
odds,25.8,12.0,10.3,87.3,6.0,19.4,3.2,15.8,27.4,30.3,167.8,2.7,202210040101,,,,,,
odds,47.9,6.5,18.0,69.0,30.7,321.3,33.8,19.5,30.7,217.3,1.2,52.4,202210040102,,,,,,
odds,314.4,7.3,113.7,45.5,285.0,2.2,453.1,3.8,5.5,139.3,37.5,---.-,202210040103,68.1,7.3,,,,
odds,67.0,4.1,13.4,27.9,3.1,7.2,5.8,3.8,,,,,202210040104,,,,,,
odds,51.0,97.3,7.5,179.4,9.4,20.5,121.9,11.5,9.6,4.2,18.2,2.8,202210040105,106.0,71.2,,,,
odds,169.4,91.9,144.4,72.0,9.4,2.3,272.3,8.9,3.3,6.5,183.5,20.6,202210040106,45.6,48.8,92.8,166.7,,
odds,90.6,47.5,38.4,5.6,34.6,113.9,3.7,66.9,3.3,32.8,---.-,59.0,202210040107,7.6,240.0,103.7,12.9,8.2,190.1
odds,228.6,137.1,22.6,9.7,29.3,5.3,72.8,4.0,19.4,4.8,10.0,202.2,202210040108,300.6,23.6,35.5,5.6,,
odds,67.5,94.3,32.3,44.4,1.4,3.8,221.3,17.5,9.0,,,,202210040109,,,,,,
odds,4.1,183.6,14.3,4.2,2.2,6.1,12.1,,,,,,202210040110,,,,,,
odds,5.2,8.2,82.4,3.2,47.9,14.0,247.5,7.3,29.5,73.8,2.9,,202210040111,,,,,,
odds,30.6,3.7,38.8,4.0,295.3,239.6,37.6,8.8,13.5,13.7,89.4,39.4,202210040112,125.4,4.2,9.3,,,
odds,42.9,67.1,29.6,4.6,62.2,100.7,188.5,5.8,5.9,1.8,,,202210040201,,,,,,
odds,160.8,39.4,4.0,1.8,5.1,10.2,14.8,,,,,,202210040202,,,,,,
odds,5.5,8.3,10.4,8.4,116.6,330.9,188.6,4.4,231.4,3.7,7.8,345.4,202210040203,126.4,97.9,182.9,15.2,,
odds,71.4,4.1,44.6,30.8,225.0,447.5,12.1,12.2,299.7,13.0,5.1,73.9,202210040204,391.8,124.3,2.3,148.8,27.9,327.4
odds,14.8,59.0,41.4,3.2,175.6,7.7,6.4,5.9,82.8,10.0,52.2,6.6,202210040205,24.3,,,,,
odds,3.1,69.4,141.6,28.4,303.2,74.5,14.4,22.3,202.3,58.4,7.2,93.7,202210040206,24.5,---.-,2.4,7.7,,
odds,6.0,78.9,14.2,15.7,7.0,184.4,4.1,26.9,462.5,10.3,2.4,257.2,202210040207,,,,,,
odds,46.2,5.2,7.3,6.0,22.1,91.7,4.4,165.3,30.6,43.7,11.1,31.8,202210040208,3.7,144.4,,,,
odds,42.3,18.7,211.4,183.5,33.3,12.5,2.3,28.7,5.2,32.6,5.5,34.7,202210040209,21.8,42.1,14.3,61.9,132.2,298.8
odds,34.6,187.6,20.1,6.1,27.8,9.0,154.3,151.8,10.8,1.5,79.3,20.2,202210040210,36.6,,,,,
odds,109.9,5.0,6.0,3.2,36.6,10.2,8.5,---.-,19.8,15.7,50.4,32.0,202210040211,78.0,13.7,90.1,15.2,,
odds,6.8,16.7,115.2,46.9,34.5,63.1,113.2,13.8,61.7,96.0,10.5,8.5,202210040212,255.1,22.8,1.6,,,
odds,19.1,12.3,15.8,2.0,3.6,10.0,180.9,55.2,10.0,122.2,,,202210040301,,,,,,
odds,3.1,7.2,48.0,36.8,7.8,94.8,451.6,197.5,12.2,5.1,5.1,124.7,202210040302,51.9,257.5,10.7,177.2,,
odds,122.3,10.8,53.0,16.6,8.7,7.7,255.2,3.3,58.5,6.7,124.2,211.3,202210040303,30.7,5.4,213.6,26.2,12.2,105.5
odds,295.0,10.1,25.0,64.8,116.6,51.6,4.8,---.-,5.5,54.6,5.8,216.4,202210040304,2.2,346.5,26.7,251.7,,
odds,9.3,17.1,3.2,78.6,42.6,8.8,53.9,22.3,40.6,89.8,2.6,19.5,202210040305,43.8,54.7,,,,
odds,190.2,8.1,21.0,18.1,82.2,30.6,18.7,2.7,21.7,5.9,---.-,95.8,202210040306,135.6,5.2,30.9,22.3,,
odds,225.9,143.8,4.3,4.1,49.1,11.1,19.6,5.6,63.7,206.3,13.2,25.7,202210040307,247.0,137.0,105.8,26.9,9.0,8.0
odds,23.1,3.6,11.8,55.7,---.-,330.0,3.6,8.1,5.6,5.9,82.4,262.9,202210040308,245.9,443.0,24.2,46.0,,
odds,30.8,5.5,14.2,2.5,56.6,11.9,2.9,91.4,12.5,113.6,36.0,,202210040309,,,,,,
odds,4.3,1.4,33.9,12.4,8.0,64.1,13.7,166.0,,,,,202210040310,,,,,,
odds,38.5,267.5,22.1,96.9,9.4,9.3,12.5,14.3,2.5,26.0,4.5,6.3,202210040311,,,,,,
odds,4.9,8.0,4.8,31.7,102.5,3.6,107.8,11.0,50.3,21.2,33.9,8.4,202210040312,15.8,45.5,,,,
odds,22.7,15.1,12.1,1.5,28.0,3.1,32.8,65.6,41.2,97.8,,,202210040401,,,,,,
odds,2.0,11.1,16.0,1.9,36.7,,,,,,,,202210040402,,,,,,
odds,33.3,100.8,75.0,58.2,16.5,138.2,2.9,4.6,7.4,74.7,16.2,26.1,202210040403,34.0,30.5,99.3,4.1,,
odds,20.9,282.0,10.5,15.1,14.0,50.4,208.4,12.4,23.5,4.6,196.2,4.0,202210040404,341.9,327.2,52.9,279.7,3.1,355.8
odds,8.1,37.5,4.1,21.8,4.9,2.1,12.3,53.2,,,,,202210040405,,,,,,
odds,33.8,28.0,16.7,190.5,85.0,9.0,93.4,2.1,27.6,85.3,4.4,4.4,202210040406,39.8,,,,,
odds,336.4,3.6,61.5,5.6,7.3,260.3,26.2,11.5,65.9,9.4,4.7,106.1,202210040407,42.9,14.4,12.8,,,
odds,219.2,65.0,6.1,21.0,55.5,27.0,34.2,32.6,66.3,72.3,107.3,5.0,202210040408,7.6,2.8,19.8,7.6,,
odds,237.2,15.4,3.7,62.9,12.6,50.1,2.3,35.8,5.1,7.8,58.3,82.0,202210040409,,,,,,
odds,18.4,67.2,37.5,75.4,4.2,2.0,54.7,175.6,14.9,7.8,37.1,33.7,202210040410,115.4,13.7,32.3,26.8,,
odds,164.3,8.7,6.2,4.6,108.9,80.5,24.4,79.1,179.0,219.4,61.7,58.1,202210040411,26.2,22.0,88.0,2.1,38.9,19.6
odds,1.6,38.8,5.4,17.4,55.0,5.5,141.4,33.7,6.9,123.0,,,202210040412,,,,,,
odds,5.4,1.9,244.2,31.2,35.7,8.5,3.4,141.6,,,,,202210040501,,,,,,
odds,151.7,8.8,204.6,1.6,23.9,25.6,8.0,101.5,151.1,97.3,116.4,203.4,202210040502,241.3,3.9,,,,
odds,7.8,6.5,294.5,18.7,138.8,49.9,80.5,11.7,28.6,72.9,89.4,12.7,202210040503,443.5,38.8,1.7,180.1,374.1,23.7
odds,2.6,35.5,97.1,73.8,11.4,6.6,10.5,73.8,17.4,7.1,373.0,375.9,202210040504,32.8,89.6,273.5,4.2,,
odds,23.6,6.4,58.8,60.7,2.6,12.9,8.0,26.1,2.9,,,,202210040505,,,,,,
odds,178.7,83.3,46.6,2.1,10.9,10.4,400.1,32.4,417.8,12.0,4.9,26.5,202210040506,402.3,259.4,60.3,49.6,6.7,
odds,7.1,18.6,21.9,90.4,15.3,123.0,1.5,41.8,233.2,27.9,35.9,9.8,202210040507,14.4,246.8,50.6,345.0,,
odds,3.8,66.1,44.8,9.2,9.2,37.6,23.1,21.1,2.9,43.6,5.0,104.2,202210040508,21.3,,,,,
odds,220.2,206.4,5.8,149.3,2.9,469.6,426.9,293.1,235.7,25.0,182.6,81.3,202210040509,34.7,88.0,30.3,2.0,25.9,
odds,23.7,14.6,4.3,3.7,5.7,3.2,23.5,10.3,47.9,,,,202210040510,,,,,,
odds,47.0,9.6,50.3,4.7,118.7,10.1,21.9,9.2,23.2,10.2,369.4,7.0,202210040511,4.2,9.1,,,,
odds,7.8,5.7,4.1,35.7,10.4,33.3,96.7,1.8,,,,,202210040512,,,,,,
odds,96.9,8.9,5.1,3.5,110.3,51.3,2.9,13.9,191.5,9.2,29.3,156.6,202210040601,,,,,,
odds,19.4,312.3,3.7,34.6,231.1,58.0,25.5,12.6,27.5,28.8,93.5,---.-,202210040602,157.0,4.8,48.8,2.2,,
odds,29.3,3.8,514.8,36.4,20.8,1.7,344.0,150.4,146.9,167.4,532.1,23.8,202210040603,203.7,399.2,29.0,4.6,,
odds,90.8,84.1,9.2,469.7,4.7,3.6,39.9,321.2,74.4,17.2,571.3,21.7,202210040604,5.6,262.4,4.0,19.2,,
odds,125.9,4.0,2.2,56.6,6.2,48.6,6.2,13.1,17.5,90.9,,,202210040605,,,,,,
odds,2.1,3.2,40.2,9.1,102.9,22.3,15.5,82.9,6.4,,,,202210040606,,,,,,
odds,9.3,328.7,90.6,237.2,43.8,9.4,233.4,34.7,101.0,9.2,2.9,20.4,202210040607,13.0,69.3,17.7,3.2,,
odds,25.6,42.2,5.9,97.0,3.3,97.7,17.0,321.2,8.2,2.8,116.0,6.9,202210040608,79.5,,,,,
odds,78.4,1.4,144.5,3.4,7.2,18.4,29.1,,,,,,202210040609,,,,,,
odds,21.0,14.2,12.0,8.0,7.0,8.1,73.0,352.6,39.2,46.4,5.9,3.1,202210040610,73.5,19.1,51.6,40.1,,
odds,24.2,42.5,19.2,106.7,25.0,3.7,50.3,5.3,4.5,7.4,3.9,,202210040611,,,,,,
odds,40.2,4.2,11.2,4.6,80.0,7.6,5.7,5.0,35.5,25.4,9.9,,202210040612,,,,,,
odds,75.7,34.2,31.9,6.9,365.6,2.8,2.1,131.9,353.9,111.6,7.5,,202210040701,,,,,,
odds,26.5,14.9,69.2,39.2,4.8,172.2,89.0,3.9,336.9,114.0,3.8,14.0,202210040702,361.9,333.2,255.4,4.5,,
odds,37.6,6.5,13.2,54.4,115.4,10.0,6.0,109.3,10.7,65.7,112.1,14.3,202210040703,195.1,14.2,11.4,36.1,6.5,5.9
odds,8.9,12.1,3.7,319.5,6.9,132.3,340.8,133.7,5.7,22.9,12.2,134.6,202210040704,59.8,100.5,9.4,5.3,,
odds,20.5,50.3,11.5,101.0,2.8,1.9,6.2,,,,,,202210040705,,,,,,
odds,8.3,98.4,183.3,3.9,120.9,14.3,7.4,5.6,31.3,158.4,6.9,5.3,202210040706,61.9,11.5,,,,
odds,38.0,14.2,37.8,8.6,11.6,59.6,28.2,1.9,83.0,5.6,61.8,49.7,202210040707,172.1,8.6,,,,
odds,16.5,100.0,4.7,4.8,199.2,26.2,16.5,5.0,29.1,10.9,74.8,14.8,202210040708,94.2,8.5,7.8,,,
odds,3.5,3.3,19.9,15.5,50.8,7.2,4.5,70.2,80.2,6.2,,,202210040709,,,,,,
odds,94.4,46.2,12.1,174.6,54.3,11.4,86.0,75.0,106.8,9.1,7.6,65.2,202210040710,33.5,2.9,3.2,15.6,,
odds,6.8,24.7,8.3,57.5,16.7,38.2,108.1,9.5,48.3,3.3,62.0,47.2,202210040711,20.5,7.1,51.4,19.8,40.5,11.8
odds,8.9,25.9,273.3,4.4,88.9,22.7,168.3,12.5,147.1,22.9,11.1,2.6,202210040712,4.8,205.0,,,,
odds,8.2,2.5,17.1,34.3,8.6,22.0,2.2,42.6,46.0,,,,202210040801,,,,,,
