,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,id,16,17,18
odds,12.2,20.0,7.0,53.9,3.8,40.0,76.6,10.3,13.8,159.2,4.4,8.5,37.0,25.9,73.7,202204030101,,,
odds,34.4,6.8,26.6,149.0,170.1,8.9,164.2,319.1,196.7,179.8,281.8,118.6,95.3,336.7,56.5,202204030102,1.2,,
odds,28.9,53.1,5.1,253.3,8.9,58.3,102.2,8.0,9.2,205.4,30.7,8.5,5.3,3.5,249.1,202204030103,,,
odds,201.6,23.8,62.4,213.5,5.4,2.6,16.3,5.6,13.4,9.9,7.5,48.1,75.7,237.1,30.2,202204030104,,,
odds,5.8,63.7,208.6,3.2,70.5,97.5,11.1,116.7,26.5,12.8,236.0,244.2,2.5,63.9,233.9,202204030105,315.0,25.5,
odds,39.1,5.7,---.-,203.1,126.6,96.5,80.5,16.1,2.0,325.3,6.3,8.5,78.0,17.8,44.3,202204030106,86.5,165.9,37.6
odds,9.1,242.3,32.7,492.4,10.5,3.5,9.3,4.3,602.1,33.5,27.6,220.6,414.6,388.2,50.3,202204030107,4.7,51.3,14.4
odds,20.4,4.4,157.0,12.5,247.0,125.3,1.5,66.3,12.0,405.2,139.3,27.1,16.5,177.3,96.2,202204030108,,,
odds,166.1,8.2,169.5,4.0,37.2,10.1,159.6,1.7,12.9,28.6,38.3,108.4,94.4,,,202204030109,,,
odds,7.0,3.4,49.8,40.0,234.9,7.4,5.1,7.5,15.2,150.6,87.6,4.7,52.4,,,202204030110,,,
odds,58.1,30.6,9.1,70.3,356.7,10.2,65.2,85.2,89.3,20.8,7.3,8.1,34.0,31.3,14.5,202204030111,4.5,6.1,8.3
odds,4.1,106.1,8.7,10.1,84.3,295.9,3.1,40.5,142.8,18.1,355.7,161.3,4.8,17.5,10.4,202204030112,,,
odds,131.4,11.5,2.1,127.9,6.1,81.9,16.2,134.1,3.6,125.3,254.6,46.1,105.3,8.6,,202204030201,,,
odds,4.9,214.2,51.6,11.6,270.1,4.5,58.4,35.8,7.4,15.6,3.0,103.1,16.0,523.4,13.7,202204030202,,,
odds,201.6,124.5,9.0,14.3,80.0,130.1,9.6,7.5,4.3,6.9,61.7,3.8,272.7,---.-,168.5,202204030203,170.8,17.6,93.3
odds,7.4,86.6,75.5,7.0,1.9,15.7,98.0,5.4,42.7,123.1,24.0,15.9,428.6,28.8,68.8,202204030204,,,
odds,11.0,217.3,2.7,101.1,7.7,36.6,84.1,334.3,54.7,33.2,129.8,8.0,32.0,15.6,3.7,202204030205,,,
odds,318.4,97.0,10.6,35.6,179.9,3.5,318.1,35.2,9.9,268.3,17.2,83.6,45.3,152.4,1.9,202204030206,22.4,445.9,26.8
odds,74.6,180.1,24.7,266.6,132.6,14.2,10.5,74.3,119.9,181.7,24.2,39.0,12.3,18.3,7.0,202204030207,6.0,2.1,76.8
odds,110.6,15.2,5.6,40.7,4.2,41.9,3.1,43.9,12.1,13.6,130.3,20.8,65.9,390.6,7.1,202204030208,,,
odds,4.4,3.3,18.1,31.2,24.3,127.7,69.3,18.0,56.2,37.5,131.9,3.7,199.1,91.5,5.4,202204030209,,,
odds,11.3,12.1,171.1,8.7,4.6,12.8,69.4,1.7,19.9,49.2,43.8,,,,,202204030210,,,
odds,5.0,23.9,15.0,28.6,18.1,62.2,6.0,3.8,67.7,29.7,13.8,3.8,164.1,42.4,,202204030211,,,
odds,100.9,34.7,11.6,4.2,12.5,98.1,53.4,13.5,4.7,4.6,160.9,124.0,55.3,5.5,19.8,202204030212,169.2,89.2,321.0
odds,122.8,40.8,13.2,5.4,37.5,3.0,22.1,9.4,8.9,64.1,3.1,90.7,,,,202204030301,,,
odds,26.1,65.5,56.8,7.5,151.7,413.5,24.0,19.0,58.4,1.8,60.0,3.4,196.1,14.1,106.3,202204030302,,,
odds,10.8,92.9,190.1,25.2,22.4,236.5,8.7,5.2,255.0,160.1,2.0,136.5,8.2,20.8,68.6,202204030303,,,
odds,3.3,30.2,13.0,44.2,6.4,4.3,18.1,2.6,,,,,,,,202204030304,,,
odds,173.6,29.6,170.5,177.4,13.3,224.4,15.4,4.5,14.2,34.6,35.4,153.9,47.1,15.4,1.9,202204030305,45.7,219.3,
odds,136.0,180.9,48.1,219.0,11.1,171.1,4.6,24.0,103.0,34.9,34.2,80.4,4.1,11.0,5.7,202204030306,12.9,8.1,13.2
odds,24.5,13.5,441.5,199.2,8.2,40.5,44.4,40.3,342.0,43.3,3.2,5.4,161.4,14.8,114.0,202204030307,17.5,3.5,284.0
odds,43.0,226.5,29.8,200.6,91.5,12.9,5.4,23.0,12.9,3.5,8.6,5.3,21.5,8.5,23.6,202204030308,,,
odds,9.4,42.5,84.0,7.0,69.2,17.6,5.6,95.8,22.9,7.9,59.2,6.0,29.6,34.1,3.3,202204030309,,,
odds,66.0,72.1,31.6,8.1,4.7,24.5,3.3,172.9,7.7,224.1,49.7,29.8,351.0,4.7,9.1,202204030310,,,
odds,31.2,243.0,14.3,70.7,3.9,9.5,29.0,268.2,3.5,4.8,25.2,5.7,36.4,,,202204030311,,,
odds,54.2,4.2,122.8,4.2,20.4,2.7,373.5,95.1,12.3,7.9,163.4,113.2,19.3,30.5,49.2,202204030312,,,
odds,272.6,6.1,47.0,132.7,206.5,1.3,8.5,16.4,157.2,8.1,,,,,,202204030401,,,
odds,280.3,246.9,26.4,251.8,2.8,3.7,3.1,19.6,6.2,,,,,,,202204030402,,,
odds,4.7,6.4,194.5,6.8,280.4,8.2,7.0,17.6,298.5,264.4,10.2,5.0,28.6,130.1,60.3,202204030403,30.3,84.6,303.1
odds,151.6,190.7,71.6,33.4,12.9,13.6,92.0,355.4,12.2,63.8,2.3,3.6,4.6,84.2,238.0,202204030404,,,
odds,34.6,160.4,80.8,2.2,10.4,22.1,128.9,20.7,4.0,8.6,18.9,12.3,186.0,,,202204030405,,,
odds,73.8,41.2,30.5,56.8,252.3,4.0,281.9,2.8,102.1,189.4,16.9,4.6,56.1,6.7,13.0,202204030406,85.1,146.6,278.9
odds,168.5,2.7,13.4,6.7,314.1,69.3,24.1,3.6,214.5,37.0,176.6,42.7,77.8,7.4,8.2,202204030407,,,
odds,236.2,41.5,53.1,76.2,385.1,66.6,11.6,1.4,7.1,75.4,7.2,9.1,,,,202204030408,,,
odds,253.2,23.2,161.0,117.3,122.9,179.6,63.8,2.0,109.6,11.6,94.9,11.3,63.5,35.1,48.6,202204030409,8.5,5.5,8.8
odds,11.5,7.3,17.5,10.2,1.8,3.7,37.3,40.6,90.6,,,,,,,202204030410,,,
odds,25.7,5.4,27.1,16.3,51.7,42.8,30.3,4.3,16.3,14.0,5.8,8.7,40.3,22.1,7.2,202204030411,,,
odds,51.8,187.8,273.1,95.5,4.9,12.4,3.2,111.8,90.3,5.2,5.1,44.7,22.8,7.0,93.9,202204030412,,,
odds,12.1,21.3,92.0,105.9,347.1,99.1,157.9,1.8,267.8,204.2,33.2,16.5,272.3,26.2,3.0,202204030501,,,
odds,2.7,34.2,16.9,312.6,52.0,16.8,3.3,19.5,163.5,19.5,93.6,42.9,37.0,13.2,5.8,202204030502,,,
odds,4.1,409.2,118.7,238.5,101.2,---.-,6.9,375.1,16.9,27.1,3.3,6.7,18.2,8.4,8.5,202204030503,,,
odds,33.2,33.8,3.5,10.4,48.7,72.3,8.8,9.8,3.8,5.6,12.2,364.8,30.5,80.0,,202204030504,,,
odds,43.2,9.4,79.5,273.1,17.9,125.8,1.7,16.4,184.9,7.5,195.7,36.4,5.5,,,202204030505,,,
odds,10.6,6.6,3.0,60.6,91.6,11.1,181.0,225.8,97.6,139.1,3.0,23.2,175.4,34.6,54.2,202204030506,89.2,215.0,20.9
odds,399.6,191.1,15.1,5.4,118.6,51.1,97.2,65.6,321.1,21.5,348.0,6.5,29.0,5.1,7.6,202204030507,5.4,517.2,5.2
odds,48.9,293.7,239.4,36.6,111.5,5.9,12.2,3.6,4.6,13.3,168.1,3.5,28.1,66.8,35.7,202204030508,,,
odds,147.0,28.3,259.2,5.9,165.0,4.9,117.9,1.7,16.1,10.8,95.1,56.3,33.3,55.4,110.0,202204030509,,,
odds,23.5,11.8,65.4,26.0,7.4,32.6,9.0,10.4,128.8,15.5,6.9,5.9,3.8,238.3,19.1,202204030510,,,
odds,5.6,6.2,18.2,9.6,25.0,6.6,10.5,7.2,58.9,25.0,48.5,64.4,67.1,6.2,15.6,202204030511,,,
odds,11.3,33.4,31.3,2.7,14.9,3.9,343.8,15.4,219.2,175.2,23.2,55.9,75.3,5.5,35.1,202204030512,103.2,404.8,25.1
odds,37.2,4.5,3.6,18.2,10.3,5.2,34.5,2.8,,,,,,,,202204030601,,,
odds,172.7,4.2,42.1,112.6,32.7,93.5,3.4,94.9,24.7,5.3,24.8,99.8,138.0,2.8,,202204030602,,,
odds,179.6,52.1,4.7,5.9,187.8,444.3,419.9,452.0,104.9,39.1,5.3,5.1,3.8,153.5,80.9,202204030603,79.6,52.9,20.2
odds,141.9,48.5,104.3,192.2,656.8,127.5,18.2,20.9,23.3,2.4,6.3,4.3,37.6,281.1,26.1,202204030604,21.3,174.3,7.4
odds,4.3,11.7,49.6,156.1,15.7,18.8,8.1,4.2,18.0,3.1,145.8,,,,,202204030605,,,
odds,59.7,31.1,11.7,109.9,10.3,63.5,185.0,35.4,9.5,70.6,6.8,2.6,163.6,130.2,4.1,202204030606,,,
odds,3.3,18.5,11.0,2.6,98.1,66.0,11.7,4.8,9.0,,,,,,,202204030607,,,
odds,141.8,3.1,2.5,107.9,2.7,12.5,23.5,25.5,,,,,,,,202204030608,,,
odds,14.0,173.6,169.2,339.5,3.7,50.9,147.9,5.5,15.2,5.0,2.3,,,,,202204030609,,,
odds,4.6,139.3,23.4,34.0,5.8,40.5,11.7,218.8,19.9,26.6,217.2,4.2,85.7,68.0,5.5,202204030610,13.1,101.8,20.2
odds,22.1,8.6,13.2,27.8,68.2,15.0,8.1,4.0,4.9,3.9,110.9,,,,,202204030611,,,
odds,39.5,8.1,88.2,16.6,80.4,4.4,97.9,134.6,10.0,94.1,2.7,4.7,37.5,21.2,68.8,202204030612,,,
odds,255.2,3.3,251.9,96.9,168.3,7.3,62.4,61.6,11.8,15.2,281.9,15.7,9.8,2.2,,202204030701,,,
odds,23.8,248.5,25.3,23.6,4.0,3.4,226.4,41.5,5.7,8.8,12.6,172.1,20.2,17.0,231.3,202204030702,,,
odds,11.3,629.0,6.8,301.4,375.4,5.1,9.4,10.7,113.4,528.3,228.2,4.6,18.3,29.5,3.3,202204030703,,,
odds,10.0,146.5,21.4,8.3,34.1,152.5,4.8,31.0,2.2,7.6,41.2,10.5,,,,202204030704,,,
odds,3.0,7.0,23.4,3.6,31.5,21.8,3.0,,,,,,,,,202204030705,,,
odds,271.5,101.2,27.9,18.0,18.3,132.8,7.2,130.7,24.4,5.8,2.4,111.9,58.8,38.2,5.6,202204030706,461.6,11.3,197.5
odds,45.3,148.5,6.2,5.5,7.7,11.1,7.6,83.6,177.2,48.1,237.5,12.2,5.5,172.5,5.9,202204030707,189.3,24.2,112.8
