,1,2,3,4,5,6,7,8,9,10,11,12,id,13,14,15,16
odds,20.6,62.0,3.4,166.7,3.7,101.2,8.7,7.8,129.2,251.2,3.8,25.6,202201020101,,,,
odds,20.5,121.3,22.4,5.1,72.9,2.6,25.8,7.0,20.8,11.1,7.5,19.6,202201020102,94.2,17.3,,
odds,101.1,6.4,3.2,18.1,14.3,4.8,40.0,86.0,30.5,3.0,50.8,31.0,202201020103,,,,
odds,3.8,12.7,181.5,106.2,68.9,12.7,6.8,14.7,266.5,4.0,3.5,32.1,202201020104,65.2,83.3,,
odds,4.5,137.1,18.8,2.8,8.0,150.1,43.3,171.8,54.6,100.0,10.8,6.3,202201020105,15.1,16.7,,
odds,19.4,8.5,6.0,4.7,8.8,61.1,127.6,40.0,14.8,25.6,23.9,143.3,202201020106,5.1,8.1,28.7,27.1
odds,203.1,4.8,4.6,251.0,2.9,14.3,14.8,8.1,17.2,7.9,25.2,,202201020107,,,,
odds,3.7,8.7,16.5,24.0,40.6,5.1,19.6,33.2,16.2,4.3,5.6,,202201020108,,,,
odds,4.2,14.2,7.7,6.5,7.0,76.1,127.3,61.2,2.3,,,,202201020109,,,,
odds,3.5,12.6,12.5,23.7,43.6,265.1,4.7,34.9,215.6,155.4,47.5,5.5,202201020110,4.3,16.8,,
odds,37.3,5.6,9.6,61.9,52.2,6.0,17.7,37.2,16.5,3.0,8.7,48.0,202201020111,9.3,44.3,,
odds,10.2,91.0,62.0,33.0,6.0,7.4,6.3,226.6,42.1,19.8,27.2,74.5,202201020112,31.1,5.5,3.6,43.9
odds,9.0,275.9,44.6,254.4,138.7,205.9,3.9,42.5,216.9,15.6,12.1,3.1,202201020201,3.2,,,
odds,42.2,43.6,61.7,11.2,31.7,12.3,15.1,3.3,4.9,3.0,19.4,26.0,202201020202,,,,
odds,117.2,6.5,41.0,12.4,164.9,26.1,51.1,6.4,10.5,2.6,160.8,11.4,202201020203,14.6,7.5,,
odds,328.3,12.0,4.8,36.1,10.5,3.7,137.5,160.5,---.-,126.4,5.6,15.4,202201020204,14.1,4.1,,
odds,54.5,9.3,3.7,7.6,8.8,4.4,21.4,137.7,123.6,4.2,35.0,,202201020205,,,,
odds,105.5,160.9,6.6,4.8,51.6,10.4,3.5,21.4,3.2,253.7,220.3,22.0,202201020206,14.6,131.6,,
